title,summary,url,img_url
"Ze života datového detektiva 4: Designér, architekt a konzultant #277","Je to tady, další článek ze seriálu „Ze života datového detektiva“, tentokrát se budeme bavit o tom co dělá architekt, designér a konzultant v Bizztreatu. Naše Verča vám to pěkně sepsala a je to fakt zajímavý čtení s hromadou prokliků na další zajímavý kontent od nás. Zajímá vás, jak to v bizztreatu s architekturou děláme? Jaký je postup pro architekta samotného? Nebo jak na architekturu navazuje datová kvalita a data governance? Pokud jste na jednu z těchto otázek odpověděli „ano“ tak šup na link a pusťte se do toho.",https://www.bizztreat.com/blog/ze-zivota-datoveho-detektiva-4-designer-architekt-a-konzultant-277,https://www.bizztreat.com/files/responsive/360/0/monitor-g97599babb-1280.jpg
6 let... Cesta Bizztreatu k Bizzflow a dál...,"Je květen 2021 – před šesti lety jsme odstartovali cestu Bizztreatu. Od prvního dne se zaměřujeme na profesionální služby pro naše klienty. Transparentnost, nezávislost a rychlost dodání vždycky byly naši silnou stránkou. Dnes jsme tým třiceti skvělých lidí. Tuto cestu milujeme a jdeme dál!",https://jirtob.medium.com/bizztreat-6-years-and-counting-d03573424f12,https://www.bizztreat.com/files/responsive/360/0/snimek-obrazovky-2021-05-11-v-112915.png
Typická datová řešení v marketingu| #Mňamka 156,Jaké produkty frčí? Jak se daří novinkám? Co slevy? Fungují? Vyplácí se nám investice do kampaní? Kolik nás stojí akvizice jednoho zákazníka? a tak dále... mohli bychom pokračovat ještě dlouho. Toto je ukázka klasických otázek marketérů. A data jim na ně dokážou dát odpověď. Jaká jsou typická datová řešení v marketingu? Podívejme se na to skrz 7P marketingový mix. Co typicky řešíme v každém ze sedmi „P“?  Rado vše shrnul v tomto článku!,https://www.bizztreat.com/blog/typicka-datova-reseni-v-marketingu-mnamka-156,https://www.bizztreat.com/files/responsive/360/0/7ps-marketing-ps.jpeg
Zmástrujte eRko | #Mňamka 155,"Zajímá vás eRko? Chcete se něco přiučit? Program „Do More with R“ nabízí for free rychlé video tipy na užitečné hacky, které můžete dělat v tomto programovacím jazyce. A co je super, většina videí je kratší než 10 minut. Takže žádné zdlouhavé okliky, vše stručně, jasně a výstižně!",https://www.infoworld.com/article/3411819/do-more-with-r-video-tutorials.html#tk.rss_businessintelligence,https://www.bizztreat.com/files/responsive/360/0/snimek-obrazovky-2021-03-29-v-142616.png
Jak prezentovat šéfům data? | #Mňamka 154,"Data mohou firmám poskytnout velkou konkurenční výhodu... Mohou, ale nemusí. Všechna data na světě k úspěchu firmám nepomohou, pokud jim všechny strany nebudou dobře rozumět a také pokud je analýza nezaujme. Sílu toto ovlivnit mají ve svých rukou datoví detektivové a analytici. Pojďme se inspirovat a nasát osvědčené best practices ve vizualizaci dat!",https://resources.observepoint.com/blog/10-tips-for-presenting-data,https://www.bizztreat.com/files/responsive/360/0/snimek-obrazovky-2021-03-29-v-140015.png
Nový (datový) světový řád | #Mňamka 152,"Možná to znáte, IT říká, že to nejde, ale vy potřebujete čísla. Vymýšlíte okliky a workaroundy, domlouváte projekty ""bokem"" bez IT. To je ""shadow IT"", Roman Staněk z GoodData se rozepsal o tomto ""fenoménu"".",https://romans.medium.com/a-new-data-world-order-54dab393c64d,https://www.bizztreat.com/files/responsive/360/0/1-am4dl-yrs-pbsmvszyowpg.jpeg
To nejlepší z Tableau webu: únor 2021 | #Mňamka 151,"Zajímá vás Tableau? Chcete s nimi držet krok a včas se dozvědět o všech novinkách? Tableau jich v rámci komunity a blogu produkuje opravdu hodně. Jejich know-how stojí za to a mají co sdílet dál. Tady je to nejlepší, co Tableau web přinesl v rámci února. Můžete se také sami aktivně zapojit v rámci nově spuštěného Tableau Community Hubu!",https://www.tableau.com/about/blog/2021/3/best-tableau-web-february-2021,https://www.bizztreat.com/files/responsive/360/0/data-vs-stats.png
Docker Compose 2.díl | #Mňamka 150,"Minule jsme se věnovali dockerizaci a dnes si řekneme jak zařídit, aby spolu mohly kontejnery spolupracovat a komunikovat. Co je docker-compose, jak ho použít a na co si dát pozor? Tom ví jak na to, a dal dohromady další napínavou pohádku. Jak hladový pes a mimino souvisí s dockerem? Pojďte se podívat!",https://www.youtube.com/watch?v=3l3CEDVl9p4,https://www.bizztreat.com/files/responsive/360/0/snimek-obrazovky-2021-03-22-v-143937.png
Forbes: Nejžádanější povolání budoucnosti? | #Mňamka 148,"Je skvělé sledovat, jak se svět kolem dat vyvíjí a stává se součástí našeho každodenního života. Někdo to vnímá negativně, ale my si myslíme, že noví lidé a posun k mainstreamu v datech je pozitivní a vede k inovacím a větší rozmanitosti v odvětví. Jaké skills kromě práce s daty budou žádané?",https://forbes.cz/nejzadanejsi-povolani-budoucnosti-datovy-vedec-a-digitalni-marketer-s-kritickym-myslenim/,https://www.bizztreat.com/files/responsive/360/0/snimek-obrazovky-2021-03-14-v-140511.png
Trello v novém kabátku | Mňamky #140,"Webová aplikace Trello, která nachází uplatnění například při správě projektů, dostala „úplně nový“ vzhled. Kromě aktualizovaného loga přináší nové možnosti vizualizace a chytřejší karty. K dispozici jsou čtyři nové režimy zobrazení: časová osa, kalendář, tabulka a řídicí panel.",https://www.zive.cz/clanky/aplikace-trello-dostala-moderni-kabatek-prinasi-nove-logo-nastroje-a-pohledy-na-spravu-projektu/sc-3-a-208590/default.aspx,https://www.bizztreat.com/files/responsive/360/0/getthumbnail.jpeg
